2Theta,Intensity (counts)
30,62
30.05,76
30.1,62
30.15,81
30.2,76
30.25,77
30.3,73
30.35,83
30.4,71
30.45,77
30.5,62
30.55,77
30.6,74
30.65,78
30.7,61
30.75,68
30.8,77
30.85,84
30.9,67
30.95,88
31,69
31.05,75
31.1,82
31.15,70
31.2,65
31.25,80
31.3,74
31.35,65
31.4,62
31.45,83
31.5,67
31.55,69
31.6,52
31.65,63
31.7,85
31.75,83
31.8,87
31.85,91
31.9,75
31.95,86
32,91
32.05,82
32.1,82
32.15,92
32.2,85
32.25,83
32.3,95
32.35,91
32.4,89
32.45,109
32.5,117
32.55,111
32.6,119
32.65,112
32.7,112
32.75,105
32.8,116
32.85,118
32.9,101
32.95,99
33,106
33.05,94
33.1,96
33.15,101
33.2,101
33.25,96
33.3,98
33.35,80
33.4,102
33.45,79
33.5,95
33.55,72
33.6,93
33.65,79
33.7,96
33.75,79
33.8,75
33.85,90
33.9,65
33.95,97
34,81
34.05,72
34.1,82
34.15,64
34.2,91
34.25,88
34.3,65
34.35,79
34.4,74
34.45,71
34.5,54
34.55,59
34.6,59
34.65,85
34.7,81
34.75,73
34.8,83
34.85,85
34.9,67
34.95,63
35,66
35.05,72
35.1,62
35.15,60
35.2,49
35.25,57
35.3,65
35.35,70
35.4,88
35.45,84
35.5,77
35.55,76
35.6,52
35.65,66
35.7,71
35.75,56
35.8,77
35.85,60
35.9,75
35.95,84
36,70
36.05,67
36.1,71
36.15,68
36.2,68
36.25,70
36.3,68
36.35,72
36.4,74
36.45,62
36.5,73
36.55,63
36.6,65
36.65,77
36.7,71
36.75,63
36.8,60
36.85,67
36.9,62
36.95,60
37,60
37.05,59
37.1,63
37.15,53
37.2,64
37.25,69
37.3,69
37.35,79
37.4,65
37.45,87
37.5,69
37.55,74
37.6,67
37.65,73
37.7,75
37.75,76
37.8,83
37.85,92
37.9,69
37.95,78
38,98
38.05,84
38.1,91
38.15,88
38.2,101
38.25,102
38.3,134
38.35,122
38.4,194
38.45,276
38.5,356
38.55,600
38.6,796
38.65,923
38.7,744
38.75,574
38.8,395
38.85,222
38.9,140
38.95,144
39,131
39.05,94
39.1,115
39.15,96
39.2,120
39.25,111
39.3,102
39.35,111
39.4,88
39.45,105
39.5,105
39.55,109
39.6,106
39.65,129
39.7,107
39.75,117
39.8,133
39.85,110
39.9,106
39.95,92
40,115
40.05,138
40.1,105
40.15,110
40.2,107
40.25,111
40.3,106
40.35,115
40.4,136
40.45,92
40.5,98
40.55,102
40.6,104
40.65,122
40.7,94
40.75,89
40.8,85
40.85,76
40.9,70
40.95,87
41,90
41.05,65
41.1,63
41.15,69
41.2,91
41.25,75
41.3,61
41.35,54
41.4,58
41.45,64
41.5,56
41.55,46
41.6,52
41.65,52
41.7,59
41.75,53
41.8,54
41.85,56
41.9,53
41.95,65
42,62
42.05,47
42.1,69
42.15,54
42.2,65
42.25,57
42.3,64
42.35,48
42.4,44
42.45,57
42.5,48
42.55,51
42.6,71
42.65,45
42.7,47
42.75,58
42.8,60
42.85,61
42.9,66
42.95,65
43,54
43.05,55
43.1,70
43.15,50
43.2,56
43.25,57
43.3,55
43.35,51
43.4,50
43.45,54
43.5,65
43.55,48
43.6,48
43.65,45
43.7,69
43.75,57
43.8,50
43.85,63
43.9,39
43.95,47
44,62
44.05,58
44.1,47
44.15,52
44.2,57
44.25,54
44.3,55
44.35,49
44.4,56
44.45,53
44.5,74
44.55,76
44.6,80
