2Theta,Intensity (counts)
30,109
30.05,126
30.1,118
30.15,132
30.2,131
30.25,143
30.3,174
30.35,192
30.4,232
30.45,297
30.5,247
30.55,206
30.6,173
30.65,138
30.7,163
30.75,127
30.8,150
30.85,107
30.9,116
30.95,118
31,114
31.05,112
31.1,116
31.15,121
31.2,129
31.25,111
31.3,115
31.35,106
31.4,101
31.45,110
31.5,120
31.55,117
31.6,101
31.65,128
31.7,116
31.75,105
31.8,108
31.85,111
31.9,126
31.95,125
32,110
32.05,110
32.1,93
32.15,93
32.2,103
32.25,93
32.3,93
32.35,116
32.4,94
32.45,89
32.5,109
32.55,102
32.6,93
32.65,114
32.7,89
32.75,77
32.8,90
32.85,100
32.9,87
32.95,104
33,82
33.05,86
33.1,93
33.15,86
33.2,105
33.25,101
33.3,84
33.35,91
33.4,95
33.45,99
33.5,90
33.55,80
33.6,86
33.65,72
33.7,74
33.75,86
33.8,98
33.85,98
33.9,109
33.95,89
34,79
34.05,87
34.1,87
34.15,95
34.2,83
34.25,83
34.3,73
34.35,84
34.4,84
34.45,68
34.5,86
34.55,83
34.6,91
34.65,90
34.7,70
34.75,74
34.8,69
34.85,67
34.9,77
34.95,75
35,69
35.05,90
35.1,77
35.15,89
35.2,92
35.25,80
35.3,80
35.35,91
35.4,70
35.45,73
35.5,81
35.55,94
35.6,87
35.65,67
35.7,80
35.75,85
35.8,75
35.85,69
35.9,68
35.95,85
36,75
36.05,72
36.1,83
36.15,71
36.2,70
36.25,80
36.3,88
36.35,63
36.4,80
36.45,75
36.5,78
36.55,59
36.6,69
36.65,69
36.7,72
36.75,66
36.8,75
36.85,78
36.9,66
36.95,68
37,66
37.05,78
37.1,71
37.15,69
37.2,57
37.25,81
37.3,69
37.35,69
37.4,66
37.45,64
37.5,77
37.55,96
37.6,119
37.65,97
37.7,66
37.75,71
37.8,69
37.85,67
37.9,52
37.95,70
38,58
38.05,51
38.1,58
38.15,73
38.2,60
38.25,72
38.3,63
38.35,62
38.4,61
38.45,60
38.5,60
38.55,63
38.6,63
38.65,44
38.7,59
38.75,62
38.8,63
38.85,53
38.9,61
38.95,85
39,60
39.05,56
39.1,70
39.15,57
39.2,55
39.25,62
39.3,62
39.35,54
39.4,61
39.45,49
39.5,71
39.55,67
39.6,50
39.65,63
39.7,51
39.75,56
39.8,53
39.85,63
39.9,47
39.95,59
40,63
40.05,75
40.1,58
40.15,49
40.2,64
40.25,68
40.3,50
40.35,59
40.4,49
40.45,54
40.5,66
40.55,60
40.6,49
40.65,52
40.7,48
40.75,55
40.8,71
40.85,49
40.9,50
40.95,53
41,61
41.05,51
41.1,53
41.15,46
41.2,46
41.25,49
41.3,50
41.35,44
41.4,41
41.45,37
41.5,53
41.55,56
41.6,51
41.65,55
41.7,61
41.75,59
41.8,44
41.85,51
41.9,64
41.95,43
42,47
42.05,48
42.1,58
42.15,46
42.2,65
42.25,54
42.3,44
42.35,52
42.4,46
42.45,52
42.5,46
42.55,71
42.6,53
42.65,71
42.7,54
42.75,53
42.8,60
42.85,58
42.9,43
42.95,51
43,60
43.05,55
43.1,47
43.15,38
43.2,51
43.25,52
43.3,44
43.35,45
43.4,50
43.45,61
43.5,64
43.55,60
43.6,62
43.65,62
43.7,67
43.75,83
43.8,62
43.85,66
43.9,52
43.95,48
44,47
44.05,64
44.1,41
44.15,57
44.2,54
44.25,45
44.3,39
44.35,42
44.4,46
44.45,34
44.5,48
44.55,41
44.6,47
44.65,38
44.7,35
44.75,53
44.8,39
44.85,52
44.9,48
44.95,37
45,50
45.05,40
45.1,46
45.15,37
45.2,39
45.25,44
45.3,49
45.35,49
45.4,57
45.45,44
45.5,52
45.55,49
45.6,46
45.65,49
45.7,29
45.75,39
45.8,38
45.85,43
45.9,44
45.95,51
46,37
46.05,35
46.1,42
46.15,34
46.2,39
46.25,42
46.3,50
46.35,44
46.4,39
46.45,46
46.5,53
46.55,37
46.6,39
46.65,40
46.7,38
46.75,34
46.8,40
46.85,38
46.9,32
46.95,39
47,37
47.05,41
47.1,29
47.15,45
47.2,46
47.25,39
47.3,45
47.35,36
47.4,40
47.45,31
47.5,35
47.55,46
47.6,50
47.65,35
47.7,43
47.75,51
47.8,37
47.85,45
47.9,40
47.95,42
48,43
48.05,38
48.1,44
48.15,42
48.2,31
48.25,39
48.3,40
48.35,43
48.4,36
48.45,31
48.5,35
48.55,34
48.6,46
48.65,41
48.7,40
48.75,31
48.8,39
48.85,38
48.9,46
48.95,45
49,50
49.05,124
49.1,135
49.15,77
49.2,137
49.25,96
49.3,65
49.35,61
49.4,68
49.45,37
49.5,42
49.55,38
49.6,28
49.65,37
49.7,38
49.75,36
49.8,31
49.85,37
49.9,41
49.95,35
50,34
50.05,31
50.1,32
50.15,38
50.2,28
50.25,33
50.3,37
50.35,40
50.4,43
50.45,31
50.5,46
50.55,37
50.6,25
50.65,41
50.7,43
50.75,38
50.8,41
50.85,41
50.9,41
50.95,29
51,38
51.05,32
51.1,42
51.15,36
51.2,37
51.25,36
51.3,31
51.35,47
51.4,44
51.45,30
51.5,40
51.55,28
51.6,50
51.65,47
51.7,26
51.75,35
51.8,39
51.85,32
51.9,36
51.95,37
52,27
52.05,38
52.1,40
52.15,32
52.2,39
52.25,34
52.3,30
52.35,31
52.4,40
52.45,29
52.5,28
52.55,37
52.6,34
52.65,29
52.7,39
52.75,34
52.8,32
52.85,38
52.9,31
52.95,31
53,30
53.05,27
53.1,28
53.15,30
53.2,32
53.25,28
53.3,36
53.35,36
53.4,46
53.45,32
53.5,32
53.55,31
53.6,32
53.65,41
53.7,36
53.75,30
53.8,37
53.85,25
53.9,31
53.95,54
54,43
54.05,41
