2Theta,Intensity (counts)
25,200
25.05,207
25.1,224
25.15,226
25.2,220
25.25,215
25.3,216
25.35,244
25.4,239
25.45,297
25.5,267
25.55,289
25.6,252
25.65,263
25.7,267
25.75,249
25.8,241
25.85,234
25.9,255
25.95,232
26,213
26.05,198
26.1,218
26.15,218
26.2,192
26.25,203
26.3,222
26.35,157
26.4,179
26.45,187
26.5,178
26.55,182
26.6,182
26.65,169
26.7,183
26.75,175
26.8,175
26.85,158
26.9,191
26.95,178
27,136
27.05,188
27.1,155
27.15,178
27.2,149
27.25,196
27.3,137
27.35,174
27.4,141
27.45,141
27.5,140
27.55,149
27.6,128
27.65,123
27.7,127
27.75,142
27.8,132
27.85,146
27.9,141
27.95,189
28,175
28.05,203
28.1,256
28.15,281
28.2,503
28.25,770
28.3,1182
28.35,1325
28.4,1307
28.45,1053
28.5,567
28.55,424
28.6,240
28.65,193
28.7,182
28.75,171
28.8,158
28.85,164
28.9,164
28.95,189
29,202
29.05,191
29.1,191
29.15,201
29.2,243
29.25,228
29.3,213
29.35,240
29.4,224
29.45,248
29.5,256
29.55,224
29.6,208
29.65,191
29.7,198
29.75,160
29.8,181
29.85,159
29.9,163
29.95,140
30,144
30.05,134
30.1,126
30.15,149
30.2,120
30.25,114
30.3,120
30.35,107
30.4,103
30.45,122
30.5,92
30.55,94
30.6,115
30.65,112
30.7,104
30.75,101
30.8,95
30.85,95
30.9,96
30.95,91
31,93
31.05,95
31.1,81
31.15,83
31.2,97
31.25,73
31.3,101
31.35,96
31.4,71
31.45,72
31.5,76
31.55,93
31.6,90
31.65,76
31.7,83
31.75,68
31.8,74
31.85,70
31.9,78
31.95,68
32,75
32.05,82
32.1,74
32.15,70
32.2,73
32.25,74
32.3,74
32.35,71
32.4,90
32.45,86
32.5,62
32.55,70
32.6,70
32.65,103
32.7,84
32.75,76
32.8,83
32.85,76
32.9,83
32.95,71
33,70
33.05,83
33.1,82
33.15,75
33.2,62
33.25,108
33.3,78
33.35,86
33.4,81
33.45,78
33.5,82
33.55,62
33.6,77
33.65,69
33.7,83
33.75,70
33.8,93
33.85,67
33.9,75
33.95,80
34,68
34.05,75
34.1,57
34.15,65
34.2,66
34.25,65
34.3,64
34.35,59
34.4,68
34.45,64
34.5,58
34.55,68
34.6,55
34.65,50
34.7,48
34.75,52
34.8,51
34.85,69
34.9,66
34.95,59
35,70
35.05,59
35.1,61
35.15,75
35.2,67
35.25,37
35.3,52
35.35,61
35.4,70
35.45,78
35.5,61
35.55,54
35.6,52
35.65,51
35.7,72
35.75,65
35.8,69
35.85,69
35.9,53
35.95,73
36,61
36.05,87
36.1,65
36.15,64
36.2,58
36.25,74
36.3,92
36.35,70
36.4,69
36.45,71
36.5,68
36.55,61
36.6,63
36.65,63
36.7,60
36.75,69
36.8,68
36.85,66
36.9,67
36.95,74
37,60
37.05,63
37.1,45
37.15,70
37.2,59
37.25,61
37.3,46
37.35,57
37.4,53
37.45,53
37.5,58
37.55,46
37.6,53
37.65,57
37.7,38
37.75,54
37.8,57
37.85,51
37.9,57
37.95,50
38,51
38.05,49
38.1,64
38.15,59
38.2,56
38.25,41
38.3,51
38.35,54
38.4,62
38.45,65
38.5,68
38.55,55
38.6,41
38.65,60
38.7,62
38.75,62
38.8,60
38.85,62
38.9,56
38.95,53
39,49
39.05,36
39.1,55
39.15,52
39.2,55
39.25,50
39.3,62
39.35,39
39.4,55
39.45,54
39.5,41
39.55,50
39.6,50
39.65,48
39.7,49
39.75,67
39.8,67
39.85,48
39.9,48
39.95,43
40,51
40.05,47
40.1,55
40.15,68
40.2,77
40.25,88
40.3,118
40.35,129
40.4,218
40.45,231
40.5,294
40.55,266
40.6,236
40.65,179
40.7,123
40.75,103
40.8,71
40.85,60
40.9,58
40.95,62
41,57
41.05,58
41.1,54
41.15,49
41.2,59
41.25,45
41.3,41
41.35,56
41.4,64
41.45,48
41.5,65
41.55,53
41.6,52
41.65,55
41.7,44
41.75,57
41.8,73
41.85,57
41.9,44
41.95,51
42,68
42.05,57
42.1,42
42.15,64
42.2,47
42.25,55
42.3,51
42.35,55
42.4,59
42.45,49
42.5,62
42.55,54
42.6,41
42.65,58
42.7,55
42.75,56
42.8,59
42.85,48
42.9,65
42.95,49
43,60
43.05,51
43.1,49
43.15,55
43.2,40
43.25,40
43.3,39
43.35,55
43.4,51
43.45,52
43.5,44
43.55,39
43.6,42
43.65,44
43.7,50
43.75,48
43.8,54
43.85,45
43.9,36
43.95,55
44,64
44.05,45
44.1,51
44.15,45
44.2,47
44.25,60
44.3,50
44.35,44
44.4,42
44.45,63
44.5,46
44.55,50
44.6,52
44.65,43
44.7,52
44.75,51
44.8,57
44.85,50
44.9,51
44.95,53
45,44
45.05,53
45.1,56
45.15,45
45.2,37
45.25,33
45.3,51
45.35,57
45.4,43
45.45,33
45.5,50
45.55,41
45.6,44
45.65,41
45.7,43
45.75,54
45.8,52
45.85,54
45.9,45
45.95,35
46,45
46.05,43
46.1,52
46.15,37
46.2,47
46.25,53
46.3,41
46.35,41
46.4,53
46.45,52
46.5,31
46.55,40
46.6,34
46.65,37
46.7,55
46.75,41
46.8,39
46.85,42
46.9,37
46.95,42
47,46
47.05,50
47.1,38
47.15,40
47.2,52
47.25,38
47.3,52
47.35,38
47.4,51
47.45,41
47.5,44
47.55,41
47.6,57
47.65,53
47.7,47
47.75,49
47.8,45
47.85,40
47.9,51
47.95,52
48,46
48.05,47
48.1,34
48.15,56
48.2,43
48.25,55
48.3,38
48.35,40
48.4,53
48.45,35
48.5,49
48.55,48
48.6,34
48.65,34
48.7,41
48.75,36
48.8,40
48.85,37
48.9,41
48.95,43
49,43
49.05,34
49.1,48
