2Theta,Intensity (counts)
30,170
30.05,166
30.1,167
30.15,177
30.2,179
30.25,143
30.3,177
30.35,152
30.4,167
30.45,142
30.5,152
30.55,151
30.6,142
30.65,140
30.7,162
30.75,154
30.8,180
30.85,149
30.9,149
30.95,162
31,156
31.05,154
31.1,167
31.15,151
31.2,142
31.25,154
31.3,133
31.35,156
31.4,154
31.45,165
31.5,173
31.55,179
31.6,167
31.65,189
31.7,144
31.75,165
31.8,192
31.85,183
31.9,164
31.95,200
32,188
32.05,195
32.1,185
32.15,189
32.2,182
32.25,177
32.3,182
32.35,160
32.4,197
32.45,170
32.5,177
32.55,153
32.6,177
32.65,167
32.7,166
32.75,149
32.8,163
32.85,123
32.9,137
32.95,156
33,135
33.05,152
33.1,126
33.15,118
33.2,152
33.25,137
33.3,142
33.35,136
33.4,138
33.45,152
33.5,105
33.55,131
33.6,116
33.65,115
33.7,128
33.75,122
33.8,123
33.85,127
33.9,138
33.95,112
34,131
34.05,119
34.1,106
34.15,120
34.2,148
34.25,124
34.3,140
34.35,112
34.4,127
34.45,141
34.5,153
34.55,138
34.6,131
34.65,128
34.7,128
34.75,117
34.8,150
34.85,136
34.9,108
34.95,108
35,124
35.05,111
35.1,123
35.15,122
35.2,113
35.25,111
35.3,109
35.35,98
35.4,113
35.45,111
35.5,126
35.55,107
35.6,117
35.65,121
35.7,94
35.75,130
35.8,116
35.85,130
35.9,107
35.95,110
36,116
36.05,92
36.1,100
36.15,120
36.2,98
36.25,105
36.3,116
36.35,121
36.4,102
36.45,104
36.5,106
36.55,111
36.6,104
36.65,115
36.7,96
36.75,114
36.8,106
36.85,111
36.9,116
36.95,112
37,115
37.05,105
37.1,108
37.15,111
37.2,141
37.25,98
37.3,126
37.35,116
37.4,100
37.45,113
37.5,119
37.55,121
37.6,114
37.65,126
37.7,139
37.75,144
37.8,169
37.85,167
37.9,201
37.95,227
38,310
38.05,429
38.1,562
38.15,733
38.2,945
38.25,1086
38.3,1251
38.35,1333
38.4,1347
38.45,1177
38.5,936
38.55,748
38.6,520
38.65,396
38.7,277
38.75,239
38.8,201
38.85,167
38.9,166
38.95,169
39,165
39.05,155
39.1,168
39.15,165
39.2,160
39.25,184
39.3,158
39.35,154
39.4,187
39.45,172
39.5,184
39.55,197
39.6,152
39.65,198
39.7,152
39.75,199
39.8,182
39.85,181
39.9,178
39.95,162
40,153
40.05,149
40.1,157
40.15,161
40.2,156
40.25,162
40.3,140
40.35,114
40.4,137
40.45,136
40.5,121
40.55,152
40.6,120
40.65,119
40.7,104
40.75,118
40.8,118
40.85,123
40.9,121
40.95,98
41,113
41.05,106
41.1,83
41.15,106
41.2,99
41.25,100
41.3,93
41.35,98
41.4,111
41.45,105
41.5,97
41.55,81
41.6,93
41.65,96
41.7,105
41.75,103
41.8,102
41.85,111
41.9,91
41.95,96
42,82
42.05,86
42.1,92
42.15,86
42.2,92
42.25,82
42.3,87
42.35,86
42.4,97
42.45,94
42.5,97
42.55,87
42.6,65
42.65,99
42.7,94
42.75,103
42.8,100
42.85,88
42.9,77
42.95,93
43,99
43.05,93
43.1,87
43.15,100
43.2,82
43.25,92
43.3,96
43.35,100
43.4,87
43.45,83
43.5,97
43.55,102
43.6,81
43.65,83
43.7,76
43.75,83
43.8,90
43.85,121
43.9,102
43.95,119
44,106
