2Theta,Intensity (counts)
25,124
25.05,125
25.1,116
25.15,128
25.2,124
25.25,132
25.3,148
25.35,106
25.4,121
25.45,149
25.5,119
25.55,132
25.6,120
25.65,142
25.7,130
25.75,105
25.8,112
25.85,135
25.9,117
25.95,126
26,117
26.05,149
26.1,108
26.15,134
26.2,116
26.25,122
26.3,113
26.35,125
26.4,130
26.45,118
26.5,137
26.55,116
26.6,117
26.65,137
26.7,124
26.75,127
26.8,110
26.85,116
26.9,125
26.95,135
27,107
27.05,139
27.1,103
27.15,120
27.2,109
27.25,100
27.3,112
27.35,114
27.4,113
27.45,117
27.5,99
27.55,109
27.6,103
27.65,100
27.7,93
27.75,103
27.8,108
27.85,115
27.9,109
27.95,117
28,115
28.05,104
28.1,93
28.15,101
28.2,102
28.25,92
28.3,79
28.35,92
28.4,97
28.45,101
28.5,100
28.55,102
28.6,101
28.65,83
28.7,84
28.75,85
28.8,82
28.85,79
28.9,81
28.95,82
29,88
29.05,82
29.1,75
29.15,70
29.2,81
29.25,81
29.3,86
29.35,75
29.4,71
29.45,72
29.5,64
29.55,77
29.6,79
29.65,50
29.7,69
29.75,76
29.8,76
29.85,71
29.9,67
29.95,57
30,71
30.05,75
30.1,70
30.15,74
30.2,65
30.25,55
30.3,75
30.35,62
30.4,64
30.45,62
30.5,60
30.55,57
30.6,60
30.65,62
30.7,67
30.75,67
30.8,72
30.85,61
30.9,66
30.95,73
31,54
31.05,56
31.1,63
31.15,58
31.2,54
31.25,74
31.3,65
31.35,48
31.4,66
31.45,58
31.5,55
31.55,55
31.6,61
31.65,64
31.7,57
31.75,57
31.8,59
31.85,57
31.9,61
31.95,55
32,53
32.05,49
32.1,76
32.15,49
32.2,63
32.25,47
32.3,57
32.35,58
32.4,47
32.45,53
32.5,54
32.55,35
32.6,57
32.65,63
32.7,51
32.75,67
32.8,58
32.85,56
32.9,59
32.95,44
33,51
33.05,46
33.1,47
33.15,47
33.2,52
33.25,46
33.3,43
33.35,45
33.4,53
33.45,53
33.5,52
33.55,37
33.6,50
33.65,57
33.7,48
33.75,43
33.8,52
33.85,47
33.9,60
33.95,49
34,41
34.05,55
34.1,53
34.15,54
34.2,46
34.25,40
34.3,48
34.35,50
34.4,56
34.45,54
34.5,57
